,ANHEUSER-BUSCH INBEV SA/NV,KONINKLIJKE AHOLD DELHAIZE N,ADIDAS AG,AIR LIQUIDE SA,AIRBUS SE,ALLIANZ SE-REG,ASML HOLDING NV,BASF SE,BAYER AG-REG,BANCO BILBAO VIZCAYA ARGENTA,BAYERISCHE MOTOREN WERKE AG,DANONE,BNP PARIBAS,CRH PLC,AXA SA,DEUTSCHE BOERSE AG,VINCI SA,DEUTSCHE POST AG-REG,DEUTSCHE TELEKOM AG-REG,ESSILORLUXOTTICA,ENEL SPA,ENGIE,ENI SPA,FRESENIUS SE & CO KGAA,SOCIETE GENERALE SA,IBERDROLA SA,ING GROEP NV,INTESA SANPAOLO,INDUSTRIA DE DISENO TEXTIL,KERING,LVMH MOET HENNESSY LOUIS VUI,MUENCHENER RUECKVER AG-REG,NOKIA OYJ,L'OREAL,ORANGE,KONINKLIJKE PHILIPS NV,SAFRAN SA,SANOFI,BANCO SANTANDER SA,SAP SE,SIEMENS AG-REG,SCHNEIDER ELECTRIC SE,TELEFONICA SA,TOTALENERGIES SE,VIVENDI SE,VOLKSWAGEN AG-PREF
30/11/2018,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/12/2018,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/01/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
28/02/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
29/03/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
30/04/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/05/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1
28/06/2019,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2
31/07/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
30/08/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
30/09/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/10/2019,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1
29/11/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/12/2019,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/01/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
29/02/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1
31/03/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,2,1
30/04/2020,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,1
31/05/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1
30/06/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/07/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/08/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
30/09/2020,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1
31/10/2020,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
30/11/2020,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/12/2020,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/01/2021,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
28/02/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/03/2021,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
30/04/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/05/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
30/06/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/07/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/08/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
30/09/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/10/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2,2,1
30/11/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/12/2021,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
31/01/2022,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1
28/02/2022,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1
31/03/2022,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2
